,tweet,tweet-english,tweet-indo,label
5003,Yes. Trust issues dari jaman kecil ampe skrg. Ga percaya ma laki2 dlu ampe pernah mkir gamau nikah. Gegara pnya bapak selingkuh didpn mata. Hmm sedih bet ya hidup dgn trust issues. Sakitnya msh smpe skrg berasa dah https://t.co/imYLpnV2vj,"Yes. Trust Issues from small times until now. Don't believe me, a man, I have been married to marry. The country is cheating on the eye. Hmm sad bet yes live with trust issues. The pain is still now feeling https://t.co/imylpnv2vj",Ya. Masalah kepercayaan Dari Jaman Kecil Ampe Skrg. Ga Percaya Ma Laki2 Dlu Ampe Pernah Mkir Gamau Nikah. Gegara Pnya Bapak Selingkuh Didpn Mata. Hmm sedyeh taruhan ya hidru dgn trust issue. Sakitnya msh smpe skrg berasa dah https://t.co/imylpnv2vj,Negatif
637,Besok Otw staycation di kampung halaman. Gak boleh mudik dan pulang kampung guys. Bolehnya berwisata.,Tomorrow OTW Staycation in his hometown. You can't go home and go home guys. May travel.,Besok OTW Staycation di Kampung Halaman. Gak Boleh Mudik Dan Pulu Kampung Guys. Bolehya Berwisata.,Negatif
3712,Reiki and chakra healing sessions in Bali… just wow. I cried with no purpose simply releasing!,Reiki and Chakra Healing Sessions in Bali ... just wow. I Cried with No Purpose Simply Releasing!,Sesi penyembuhan Reiki dan Chakra di Bali ... hanya wow. Saya menangis tanpa tujuan hanya melepaskan!,Positif
1914,I literally asked warga kost who the fuck is Xabiru dan dia anak siapa😂 https://t.co/QoGI54kXAI,I Literally Asked residents of the boarding house who the fuck is xabiru and he is the son of whose son😂 https://t.co/qogi54kxai,Saya benar -benar bertanya kepada Waraga Kost yang sialannya adalah Xabiru Dan Dia Anak Siapa😂 https://t.co/qogi54kxai,Negatif
572,bedakan apa itu meluangkan waktu dan punya banyak waktu luang 😌 then you know which is more priceless. https://t.co/hssw96gmDq,Differentiate what it is taking time and has plenty of free time 😌 then you know which is more pricless. https://t.co/hssw96gmdq,Bedakan apa Itu Melaangkan Waktu Dan Panya Banya Waktu Luang 😌 Lalu Anda tahu mana yang lebih berharga. https://t.co/hssw96gmdq,Netral
1122,"Even diluar udah jedug jedug kembang api, aku tdk bergeming meninggalkan kasur dan melepas headset ini.","Event outside is already a fireworks jedug, I didn't budge leaving the bed and took off this headset.","Bahkan Diluar Udah Jedug Jedug Kembang API, AKU TDK Bergeming Meninggalkan Kasur Dan Melepas Headset INI.",Netral
252,actually drowning.,Actually drowning.,sebenarnya tenggelam.,Netral
1716,Here i thought Attack on Titan final season would be the most discussed show on Twitter  No its actually Euphoria,Here I Thought Attack on Titan Final Season would be the most discussed show on Twitter  No its actually euphoria,Di sini saya pikir serangan di musim terakhir Titan akan menjadi acara yang paling banyak dibahas di Twitter  Tidak benar -benar euforia,Negatif
2730,literally join VIP WeTV utk KUG aja gini nih jadinya awokwok,"Literally join VIP WETV for this, just like this, so awokwok",Secara harfiah bergabung dengan VIP Wetv Utk Kug Aja Gini Nih Jadinya Awokwok,Netral
1015,Dispatch nge spill spa yah WKWKWK https://t.co/dDNwg49kyV,"Dispatch nge spill spil, yeah wkwkwk https://t.co/ddnwg49kyv",Dispatch Nge Spill Spa Yah Wkwkwk https://t.co/ddnwg49kyv,Netral
2405,"Kalo kamu bilang apa yg ku lakuin itu ga jelas, bagiku itu self healing.","If you say what I do is not clear, to me it's self healing.","Kalo Kamu Bilang apa yg ku lakuin Itu ga jelas, Bagiku Itu Self Healing.",Positif
3980,"Setelah 1 tahun lebih tidak menikmati senja di smanis , honestly i'm really miss this tho 😌 https://t.co/sPfhni9IDx","After more than 1 year of not enjoying dusk at SMANIS, honestly I'm really miss this tho 😌 https://t.co/spfhni9idx","Setelah 1 tahun lebih tidak menikmati senja di smanis, sejujurnya saya sangat merindukan tho 😌 https://t.co/spfhni9idx",Positif
265,"actually, i have a circle. tapi entah kenapa cuma nyaman ngomong di satu-dua orang teman yang ada di circle itu. circle cuma bikin cape, semakin banyak org di circle itu, semakin aku beradaptasi, makin keluar energi. tapi itu jalan buat dapet satu-dua temen yang nyaman itu. https://t.co/d4ehZooOVf","Actually, I have a circle. But somehow just comfortable talking in one or two friends in the circle. Circle just makes tired, the more people in the circle, the more I adapt, the more energy out. But that's the way to get one or two comfortable friends. https://t.co/d4ehzooovf","Sebenarnya, saya memiliki lingkaran. TAPI ENTAH KENAPA CUMA NYAMAN NGOMONG DI SATU-DUA ORANG TEMAN Yang ADA DI CIRCLE ITU. Circle Cuma Bikin Cape, Semakin Banyak Org di Circle Itu, Semakin Aku Beradaptasi, Makin Keluar Energi. TAPI ITU JALAN BUAT DAPET SATU-DUA TEMEN YANG NYAMAN ITU. https://t.co/d4ehzooovf",Negatif
716,Bobok seharian adalah healing bagi mamak😌 https://t.co/sVjQ3b506J,Bobok all day is healing for mamak😌 https://t.co/svjq3b506j,BOBOK SEHARIAN ADALAH PEMBERIAN BAGI MAMAK😌 https://t.co/SVJQ3B506J,Positif
4113,Spill akunnya aja biar netijen bersilaturahmi kesana.. hahahahha😆 https://t.co/dCAWQQxDCy,Spill the account just so that the netijen is in touch there .. hahahahha😆 https://t.co/dcawqqxdcy,Spill AKunnya Aja Biar Netijen Bersilaturahmi Kesana .. hahahahha😆 https://t.co/dcawqqxdcy,Negatif
2978,Medical family Protesters being arrested from behind while protest peacefully  #Feb28Coup #WhatsHappeninglnMyanmar #MilkTeaAlliance                          https://t.co/zKEcwb8kdO,Medical Family Protets Being Arrested from Behind while Protest Peaceful #Feb28COUP #WhatsHappeninglnmyanmar #MilkteaAlliance https://t.co/zkecwb8kdo,Pengunjuk rasa Keluarga Medis ditangkap dari belakang saat memprotes secara damai #Feb28coup #whatshappeninglnmyanmar #milkteaalliance https://t.co/zkecwb8kdo,Netral
4221,"Stop and look around😌  #sonyalpha #waterfall #rookkiwear #model #photooftheday #indonesia #bali #instafashion #instamodels @ Bali, The Island Of Paradise. https://t.co/kYXrxs4yMk","Stop and Look Around😌  #sonyalpha #waterfall #rookkiwear #model #photoofthethaDay #Indonesia #Bali #instafashion #instamodels @ Bali, The Island of Paradise. https://t.co/kyxrxs4ymk","Berhenti dan lihat sekeliling😌  #sonyalpha #waterfall #rookkiwear #model #photooftheday #indonesia #bali #instafashion #instamodels @ bali, pulau surga. https://t.co/kyxrxs4ymk",Netral
4215,Staycation.. https://t.co/hVknFh0Lk5,Staycation .. https://t.co/hvknfh0lk5,Staycation .. https://t.co/hvknfh0lk5,Netral
11,"....even though I am not the chosen person who will accompany you at happily moment, at least when you are sad I will hug you and become a place for you to lean on....",".... even though I am not the chosen person who will recompany you at happily moments, at least you are sad i will hug you and become a place for you to lean on ....",".... Meskipun saya bukan orang yang dipilih yang akan menemani Anda pada saat yang bahagia, setidaknya ketika Anda sedih, saya akan memeluk Anda dan menjadi tempat bagi Anda untuk bersandar ....",Netral
1369,God is there no chance for me to go there. my heart can't just forget it even though many times reality breaks my heart,God is there no chance for me to go there. My Heart Can't Just Forget It Even Though Many Times Reality Breaks My Heart,Tuhan tidak ada kesempatan bagiku untuk pergi ke sana. hatiku tidak bisa begitu saja melupakannya meskipun berkali -kali realitas menghancurkan hatiku,Negatif
2349,"Just when you thought them #HeatTwitter hit the apex win against Raptors, they did it even better against hot-red Jazz!!!!!!","Just when you thought them #heattwitter hit the apex win against raptors, they did it even better again the hot-red jazz !!!!!!","Tepat ketika Anda mengira mereka #HeatTwitter mencapai kemenangan puncak melawan Raptors, mereka melakukannya lebih baik melawan jazz panas-merah !!!!!!",Positif
2066,Im not even making this up bener bener setiap hari ke Canggu ya ampun,Im not even making this up right every day to Canggu ya oh my gosh,Saya bahkan tidak mengarang ini Bener Bener Setiap Hari Ke Canggu Ya Ampun,Netral
13,""" reed plant "" etimology for Read.. but even Moses and Israel Exodus from Egypt.. They across "" Reed Sea "" nor Red Sea.. dis wrong fact. Reed plants produce for the paper longtimeagos.. ancient manuscrips. https://t.co/HTXeNtRvIj","""Reed Plant"" etymology for read ... but even moses and Israel exodus from Egypt ... they across ""reed sea"" nor red sea .. dish wrong factor. Reed Plants Produce for the paper longtimeagos ... Ancient Manuscrips. https://t.co/htxentrvij","Etimologi ""Tanaman Reed"" untuk dibaca .. tetapi bahkan Musa dan Israel Keluaran dari Mesir .. Mereka melintasi ""Laut Reed"" atau Laut Merah .. Fakta yang salah. Tanaman buluh diproduksi untuk kertas longtimeagos .. manuscrips kuno. https://t.co/htxentrvij",Netral
4932,YA ALLAH CRUSH SMAKU POSTING FOTO LUCU BANGET 😭😭,"O Allah, Crush, my high school, post a funny photo 😭😭",Ya Allah Crush Smaku Posting Foto Lucu Banget 😭😭,Positif
896,Dahlah ga mau overthinking lagi Perutku sakit,I don't want to overthinking anymore My stomach hurts,Dahlah ga mau overhinking lagi Perutku Sakit,Negatif
2302,Jujurly 🙏🏻 https://t.co/yhT7jh4trK,Honestly 🙏🏻 https://t.co/yht7jh4tk,Jujurly 🙏🏻 https://t.co/yht7jh4trk,Netral
4076,Somehow i cant see https://t.co/VZceV5FbVQ https://t.co/YYhVefKTRZ,Somehow I Cant See https://t.co/vzcev5fbvq https://t.co/yyhveffktrz,Entah bagaimana saya tidak bisa melihat https://t.co/vzcev5fbvq https://t.co/yyhvefktrz,Netral
3428,overthinking lg ajgggggg argh aku wes meh lali kr rupamu lah kok teko neh maksudmu opoooooo😭😤😭😤,"overthinking again ajggggggg argh I wes meh lali kr, bro, how come the teapot you mean opoooooo ago",terlalu banyak berpikir lg ajggggggggggg akue meh lali kr rupamu lah kok teko neh maksudmu opoooooo😭😤😭😤,Negatif
4839,"When your bestie is in charge to take virtual photoshot during webinar, dia akan sangat sadar klo u baru bangun 🤣","When your bestie is in charge to take virtual photoshot during the webinar, he will be very aware if you just wake up 🤣","Ketika sahabat Anda bertanggung jawab untuk mengambil photoshot virtual selama webinar, dia Akan sangat sadar klo u baru bangun 🤣",Netral
1634,Healing kita Healing https://t.co/v1uU9kMXvu,Healing Kita Healing https://t.co/v1uu9kmxvu,Penyembuhan Kita Healing https://t.co/v1uu9kmxvu,Netral
4151,Spiritual healing in Bali is a one of the highly recommended spirit journey you have to experience. Jro Mangku Eka Sukawati is a Balinese healer with concept energy healing. The methods of Jro Mangku Eka healing is included removing bad spirit improving cakra point and kundalini https://t.co/XfGQlPbhOM,Spiritual healing in Bali is a one of the highly recommended spirit journey you have to experience. Jro Mangku Eka Sukawati Is a Balinese Healer with Concept Energy Healing. The Methods of Jro Mangku Eka Healing is included Removing Bad Spirit Improving Cakra Point and Kundalini https://t.co/xfgqlpbhom,Penyembuhan spiritual di Bali adalah salah satu perjalanan roh yang sangat direkomendasikan yang harus Anda alami. Jro Mangku Eka Sukawati adalah penyembuh Bali dengan penyembuhan energi konsep. Metode Jro Mangku Eka Healing termasuk menghilangkan semangat buruk meningkatkan Cakra Point dan Kundalini https://t.co/xfgqlpbhom,Positif
2416,"Kalo siang main hp scroll twtter aja bisa ketiduran, kenapa kalo malem susah sekali buat ketiduran ya bestie","If you just play a cellphone scroll twtter, you can overslept, why if it's so hard to fall asleep","Kalo Siang Main HP Scroll Twtter Aja Bisa Ketiduran, Kenapa Kalo Malem Susah Sekali Ketiduran Ya Bestie",Negatif
3687,Racism is not an opinion. Racism shall not be tolerated. Standing with everyone and every #BTSARMY all around the world.  #RassismusBeiBayern3 #Bayern3Racist,Racism is not an opinion. Racism shall not be tolerated. Standing with everyone and every #btsarmy all around the world.  #Rassismusbeibayern3 #Bayern3Racist,Rasisme bukanlah pendapat. Rasisme tidak akan ditoleransi. Berdiri bersama semua orang dan setiap #BtSarmy di seluruh dunia.  #Rassismusbeibayern3 #Bayern3Racist,Positif
4063,"So, the way we use our mask today probably will be 'strange' for those who will live in the year of 2124.😑 https://t.co/KaevvAve8U","So, the way we use our mask today probably will be 'strange' for those who will live in the year of 2124.😑 https://t.co/keevvave8u","Jadi, cara kita menggunakan topeng kita hari ini mungkin akan 'aneh' bagi mereka yang akan hidup di tahun 2124.😑 https://t.co/kaevvave8u",Negatif
132,🥰🤭Ad yg mau jd bestie ogut kagak ye💕😁 https://t.co/m9Z4kFQvsk,🥰🤭ad who wants to be bestie ogut not ye💕😁 https://t.co/m9z4kfqvsk,🥰🤭ad yg mau jd bestie ogut kagak ye💕😁 https://t.co/m9z4kfqvsk,Netral
1111,entah memang ada yang kepo tingkat dewa atau insecure terolah menjadi overthinking🤔,Either there are those who have a god level or insecure processing into overthinking🤔,Entah memang Ada Yang Kepo Tingkat Dewa Atau Insecure Terolak Menjadi Overinking🤔,Negatif
683,"Biasanya jam 1 baru tidur, tadi jam 10an nyoba tidur, baru sejam kebangun... dasar aku. Dan ini lagi overthinking, jnck...","Usually at 1 o'clock just sleeping, at 10 o'clock trying to sleep, just waking up ... Basic me. And this is Overthinking, JNCK ...","Biasananya Jam 1 Baru Tidur, Tadi Jam 10an Nyoba Tidur, Baru Sejam Kebangun ... Dasar Aku. Dan ini lagi terlalu banyak berpikir, Jnck ...",Negatif
4933,"Ya Allah gua ngisi gform tentang progress terus ditanya ada kendala gak, trs gua jujur aja kalau kendala ada di gua sendiri karena burnout, kehilangan motivasi, dan jadi gak pede.","O God, I fill the gnor of progress, and then asked, there are obstacles, but I'm honest if the obstacles are in my own cave because of burnout, lose motivation, and become not confident.","Ya Allah Gua Ngisi Gform Tentang Kemajuan Terus Ditanya Ada Kendala Gak, Trs Gua Jujur Aja Kalau Kendala Ada Di Gua Sendiri Karena Burnout, Kehilangan Motivasi, Dan Jadi Gak Pede.",Negatif
190,"2022 tetep netepi, merlok-merlokne, lan nemen-nemeni healing mancing,,!!","2022 Still neutory, hijacking, lan accompanied healing fishing ,, !!","2022 Tetep Netepi, Merlok-Merlokne, Lan Nemen-Nemeni Healing Mancing ,, !!",Positif
2848,"MAMPUS ANJING MAKANYA BURUAN PEKA TOBAT LU DAFFA KALAU NGGA MAU DHANES SAMA YG LAIN PEKA PEKA MAKANYA JGN DENIAL, JAHAT BGT TAU NGGA LU DAF ITU ANAK ORG LAGI KEPIKIRAN LU BILANG TERBAWA SUASAN ANJ- DAF. https://t.co/WOEohjwJHQ","Died dogs so hurry up and be sensitive to your repentance if you don't want to dhanes with the others, so don't denial, it's really bad, you don't know that you are a child, you think you say you are carried away by the atmosphere. https://t.co/woeohjwjhq","Mampus Anjing Mkananya Buran Peka Tobat Lu Daffa Kalau Ngga Mau Dhanes Sama Yg Lain Peka Mkananya Jgn Denial, Jahat Bgt Tau Ngga Lu Daf Itu Anak Org Lagi Kepikiran Lu Bilang Terbawa Aj-engah. https://t.co/woeohjwjhq",Negatif
3325,"Oil money, both in video games and real life, is surely lucrative.  In Cities: Skylines, u can make millions of dollar just by exploiting oil alone","Oil Money, Both in Video Games and Real Life, Is Suely Lucrative.  In Cities: Skylines, u can make millions of dollars just by exploiting oil alone","Uang minyak, baik dalam video game dan kehidupan nyata, pasti menguntungkan.  Di kota: langit, Anda dapat menghasilkan jutaan dolar hanya dengan mengeksploitasi minyak saja",Netral
2702,Let's overthinking~ https://t.co/VWJbcxMxXc,Let's Overthinking ~ https://t.co/vwjbcxmxxc,Mari kita terlalu memikirkan ~ https://t.co/vwjbcxmxxc,Negatif
2294,Jogja healing vacation.. Jogja pesiar murah WA 081-382-484-695 #jogjatrip #jigjacitytour #jogjawisata #jogjapositip #carinafkahhalal #maturnuwun https://t.co/bigIBjIRRG,Jogja Healing Vacation .. Jogja Cruise Cheap WA 081-382-484-695 #jogjatrip #jigjacitytour #jogjawisata #jogjapositip #carinafkahhalal #maturnuwun https://t.co/bigibjirrg,Liburan Penyembuhan Jogja .. Jogja Pesiar Murah WA 081-382-484-695 #JogJatrip #JigJAcityTour #jogjawisata #jogjapositip #carinafkahhalal #MATURUWUN https://t.co/bigjalal #MATURUWUN https://t.co,Netral
1873,"I don't want this era to end. I like this concept so much, love all the songs (at this point I don't even have favorite), they look so happy. It's a good time to be Shawol, really :"") #Dont_Call_Me #SHINee","I don't want this era to end. I like this concept so much, love all the songs (at this point I don't even have favorite), they look so happy. It's a good time to be shawol, really: "") #Dont_call_me #shinee","Saya tidak ingin era ini berakhir. Saya sangat menyukai konsep ini, suka semua lagu (pada titik ini saya bahkan tidak punya favorit), mereka terlihat sangat bahagia. Ini saat yang tepat untuk menjadi Shawol, sungguh: "") #Dont_call_me #shinee",Positif
835,Cie Ada Yang kepo ah 😌🤭,Cie there are those who kepo ah 😌🤭,CIE ADA Yang KEPO AH 😌🤭,Negatif
770,"Butuh pacar yg sekaligus sebagai support system.. kamu bisa terima kekuranganku dan aku terima kekuranganmu, dulu pernah dapat tapi pasif, asik dgn dgn dunianya sendiri.. berat jalani kyk gini","Need a boyfriend who is at the same time as a support system ... you can accept my shortcomings and I accept your shortcomings, once you can but passively, cool with his own world .. heavy live like this","Butuh Pacar Yg Sekaligus Sebagai System Dukungan .. Kamu Bisa Terima Kekuranganku Dan Aku Terima Kekuranganmu, Dulu Pernah Dapat Tapi Pasif, Asik Dgn Dgn Dunianya Sendiri .. Berat Jalani Kyk Gini",Negatif
3056,mo cari yg jual spotify berkumpul dongs saya kepo harganya makasiii,mo looking for the one who sells spotify gathering me to my price,Mo Cari Yg Jual Spotify Berkumpul Dongs Saya Kepo Harganya Makasiii,Netral
4539,Tiap hari overthinking terossss  Capekk jg .,Every day overthinking terossss Tired too.,Tiap hari overhinking terosss Capekk JG.,Negatif
3149,"Nah, I prefer @shidahikaru to dethrone @Jade_Cargill. But before that, Shida needs to kill @Thee_Red_Velvet yet again on the Owen Hart Foundation Women's Tournament. Then maybe after Shida wins that @TBSNetwork Championship belt from Jade Cargill with 8 Title Defenses... (1/2) https://t.co/bjfT3OWyQw","Well, I prefer @shidahikaru to dethrone @jade_cargill. But before that, shida needs to kill @thee_red_velvet yet again on the Owen Hart Foundation Women's Tournament. Then Maybe After Shida Wins that @TBSNetwork Championship Belt from Jade Cargill with 8 Title Defenses ... (1/2) https://t.co/bjft3owyqw","Nah, saya lebih suka @shidahikaru daripada meluncurkan @jade_cargill. Tapi sebelum itu, Shida perlu membunuh @thee_red_velvet lagi di turnamen wanita Owen Hart Foundation. Lalu mungkin setelah Shida menang sabuk kejuaraan @tbsnetwork dari Jade Cargill dengan 8 pertahanan judul ... (1/2) https://t.co/bjft3owyqw",Netral
559,"Be grateful for every little thing you get for free.  Clean air, delicious food, healthy friendships, and good people around you. All are infinite gifts. ___ #yorokobi #YorokobiPortraiture #Bali #grateful @ Bali https://t.co/04kIu2sKud","Be grateful for every little thing you get for free.  Clean Air, Delicious Food, Healthy Friendships, and Good People Around You. All Are Infinite Gifts. ___ #yorokobi #yorokobiportraiture #bali #grarateful @ bali https://t.co/04kiu2skud","Bersyukurlah atas setiap hal kecil yang Anda dapatkan secara gratis.  Udara bersih, makanan lezat, persahabatan yang sehat, dan orang -orang baik di sekitar Anda. Semua adalah hadiah tak terbatas. ___ #yorokobi #yorokobiportraiture #bali #grateful @ bali https://t.co/04kiu2skud",Positif
4114,spill beli beniknya dong kak? https://t.co/KEbBao1JO8,"Spill buy the benik, sis? https://t.co/kebbao1jo8",Tumpah Beli Beniknya Dong Kak? https://t.co/kebbao1jo8,Netral
2523,"Kenapa sih ini, jd overthinking 😓","Why the heck, JD Overthinking 😓","Kenapa Sih ini, JD overthinking 😓",Negatif
3326,Ok edisi chat bareng bestie check @saweol3 https://t.co/wvcfEZkRyz,Ok Chat Edition with Bestie Check @SAweol3 https://t.co/wvcfezkryz,Ok edisi chat bareng bestie check @saweol3 https://t.co/wvcfezkryz,Netral
4549,tiba² kepikiran rundown orang lamaran itu gimana ya yg kayak di tiktok²😭🙏 Kepo aja sih,suddenly thought Rundown of the application person what is the one like in tiktok² fix Just kepo anyway,Tiba² Kepikiran Rundown Orang Lamaran Itu Gimana Ya Yg Kayak Di Tiktok²😭🙏 Kepo Aja Sih,Netral
312,"Akhir - akhir puasa malah banyak yang ngajak staycation.Katanya "" yu penutupan ""","Late - the end of fasting even many invited staycation. He said ""yu closing""","Akhir - Akhir Puasa Malah Banyak Yang Ngajak Staycation.katananya ""Yu Penutupan""",Netral
1421,gue suka nanya krn emg kepo aja,I like to ask because I just kepo,gue suka nanya krn emg kepo aja,Netral
3081,Morning Walk in Gelora Bung Karno today. Decent comeback to exercise after a while. https://t.co/bHpfXcKjIp,Morning Walk in Gelora Bung Karno Today. Decent comeback to exercise after a while. https://t.co/bhpfxckjip,Pagi berjalan kaki di Gelora Bung Karno hari ini. Comeback yang layak untuk berolahraga setelah beberapa saat. https://t.co/bhpfxckjip,Positif
864,Congratulations for peoples around the world who pass this mission has been passed in this 2020 🙏🏻 https://t.co/rbCuL4McrD,Congratulations for people around the world who pass this mission has been passed in this 2020 🙏🏻 https://t.co/rbcul4mcrd,Selamat untuk orang -orang di seluruh dunia yang lulus misi ini telah disahkan pada tahun 2020 ini 🙏🏻 https://t.co/rbcul4mcrd,Positif
4589,"tomorrow weekend is my healing, yeay","Tomorrow weekend is my healing, yeay","Besok akhir pekan adalah kesembuhanku, yeay",Positif
1718,"Here, there, and everywhere with my kirana sisters  . . . . . . . #residency #doctor #ppds #dokter #travel #healing #burnout #nature #hospital #party @ Jakarta, Indonesia https://t.co/cQo0g3BEyj","Here, there, and everywhere with my Kirana Sisters . . . . . . . #residence #doctor #ppds #dokter #travel #healing #burnout #nature #hospital #party @ jakarta, Indonesia https://t.co/cqo0g3beyjj","Di sini, di sana, dan di mana -mana dengan saudara perempuan Kirana saya . . . . . . . #residency #doctor #ppds #dokter #travel #healing #burnout #nature #hospital #party @ jakarta, indonesia https://t.co/cqo0g3beyj",Netral
4678,"Untuk yang maha membolak balikan hati, jadikanlah aku pribadi yang lebih baik.  Hari hari overthinking.😕","For the Almighty, turn back my heart, make me a better person.  Day of Overthinking.😕","UNTUK YANG MAHA MAHA BALIKAN HATI, JADIKANLAH AKU PRIBADI YANG LEBIH BAIK.  Hari Hari Terlalu Berpikir.😕",Negatif
4564,"Timeline, FYP semua isinya mudik, berasa nature is healing","Timeline, fyp all contents are going home, taste nature is healing","Timeline, FYP Semua Isinya Mudik, Berasa Nature sedang menyembuhkan",Positif
2290,"Jika ditanya ingin apa aku sekarang ?  Aku hanya ingin bahagia, menjalani hidup dengan semestinya, berhenti overthinking dimalam hari, juga ingin berhenti insecure tentang masa depan. Aku selalu berharap dan berdoa hidupku baik-baik saja.","If asked what I want now? I just want to be happy, live life properly, stop overthinking at night, also want to stop insecure about the future. I always hope and pray my life is fine.","Jika Ditanya Ingin apa Aku Sekarang? Aku Hanya Ingin Bahagia, Menjalani menyembunyikan Semestinya, Berhenti yang terlalu banyak berpikir Dimalam Hari, Ragu Ingin Berhenti Insecure Tentang Masa Depan. AKU SELALU BERHARAP DAN BODOA HIDUPKU BAIK-BAIK SAJA.",Positif
638,Besok tepatnya tanggal 1 jam 00.00 adalah hari Girlfriend day. Gw diucapin sapa ye? Doi?gw kgk punya Bestie nj?pada kagak peka semua Mengsedih lah hidup gw🙂💔,Tomorrow precisely 1 hour 00.00 is Girlfriend Day. I said what? Doi? I have to have Bestie NJ? Not all sensitive Skipped my life 💔,Besok Tepatnya Tanggal 1 Jam 00.00 Adalah Hari Girlfriend Day. Gw diucapin sapa ye? Doi? Gw kgk punya Bestie NJ? Pada Kagak Peka Semua Mengsedih Lah Hidup GW🙂💔,Negatif
4482,"There is a mistake here, for some reason My user not showing on the list, even if I refresh the list more and more and more https://t.co/dQ4tCWG8qj","There is a mistake here, for some reason my user not showing on the list, even if I refresh the list and more and more https://t.co/dq4tcwg8qjjj","Ada kesalahan di sini, untuk beberapa alasan pengguna saya tidak ditampilkan dalam daftar, bahkan jika saya menyegarkan daftar semakin banyak https://t.co/dq4tcwg8qj",Negatif
196,"29 Juli 2020 - which is 1th lalu. gembar gembor Bioskop akan buka serentak.in fact.... zonk29 Juli 2021 - which is sekarang. semua bioskop kembali tutup lagi, semuanya🥲","July 29, 2020 - which is 1 year ago. The cinema fanfare will open simultaneously.in fact .... Zonk29 July 2021 - which is now. All the cinema closes again, everything🥲","29 Juli 2020 - yang merupakan Lalu ke -1. Gembar Gembor Bioskop Akan Buka Serentak.in Faktanya .... Zonk29 Juli 2021 - yang merupakan Sekarang. Semua Bioskop Kembali Tutup Lagi, Semuanya🥲",Negatif
214,"5 taun di pwt padahal, tapi baru pernah sekali pas taun kemarenitu juga rekomendasi mas crush huhu https://t.co/yYiXsluZym","5 years in PWT even though, but only once was the year yesterday also recommended Mas Crush huhu https://t.co/yyixsluzym","5 taun di pwt padahal, tapi baru pernah sekali pas taun kemarenitu buta rekomendasi mas naksir huhu https://t.co/yyixsluzym",Negatif
4485,"There should be no worry about destiny, because even a leaf Allah has arranged when and where it will fall 🍂","There should be no worry about destiny, because even a leaf Allah has arranged when and where it will fall 🍂","Seharusnya tidak ada kekhawatiran tentang takdir, karena bahkan daun yang telah diatur Allah kapan dan di mana itu akan jatuh 🍂",Positif
3093,"Mulai frustasi dg jerawat dan mulai overthinking ""orang disekitarku ini merasa beruntung ngga sih kalo kenal aku? ""","Starting frustrated with pimples and starting to overthinking ""The people around me feel lucky or not if you know me?""","Mulai Frustasi DG Jerawat Dan Mulai terlalu banyak berpikir ""Orang Disekitarku Ini Merasa Beruntung Ngga Sih Kalo Kenal Aku?""",Negatif
237,AAMIIN 🤗 @Iamjjihan yuk bestie di ss jgaaa https://t.co/WWUyQ1C9tr https://t.co/YbjOuicU21,Aamiin 🤗 @iamjjihan yuk bestie at ss jgaaa https://t.co/wuyq1c9tr https://t.co/ybjouicu21,AAMIIN 🤗 @iamjjihan yuk bestie di ss jgaaa https://t.co/wwuyq1c9tr https://t.co/ybjouicu21,Netral
4905,"wkwkwk, ngerasain kan lu semua. Makanya jangan fomo. https://t.co/zl9JLsRXFp","Wow, you feel everything. So don't fomo. https://t.co/zl9jlsrxfp","WKWKWK, NGERASAIN KAN LU SEMUA. Majanya Jangan Fomo. https://t.co/zl9jlsrxfp",Negatif
4577,Today i spending money around 250k padahal blm bisa nyari duit sendiri hhhh crying in the silence,Today I Spending Money Around 250k even though you can't find your own money hhhh crying in the silence,Hari ini saya menghabiskan uang sekitar 250K padahal blm bisa nyari duit sendiri hhhh menangis dalam keheningan,Negatif
2893,mas crush dah sembuh belum ya 🥺👉👈,Mas Crush has recovered yet 🥺👉👈,mas naksir dahs sembuh belum ya 🥺👉👈,Netral
1107,"Enjoy the view while you can 🤔 (@ Hotel Santika Bandung - @santikahotels in Bandung, Jawa Barat w/ @gheviana70) https://t.co/l2X7wZjSzL https://t.co/nYZTYo5RSS","Enjoy the view while you can 🤔 ( @hotel Santika Bandung - @santikahotels in Bandung, West Java w/ @gheviana70) https://t.co/l2x7wzjszl https://t.co/nyztyo5rss","Nikmati pemandangan selagi Anda bisa 🤔 ( @hotel santika bandung - @santikahotels di bandung, jawa barat w/ @gheviana70) https://t.co/l2x7wzjszl https://t.co/nyztyo5rss",Netral
3699,Rate my fan art? Probably nothing 👀 @yourbae @IrukandjiWorld https://t.co/P245yMym1z,Rate My Fan Art? Probably nothing 👀 @yourbae @irukandjiworld https://t.co/p245ymym1z,Nilai Seni Penggemar Saya? Mungkin tidak ada 👀 @yourbae @irukandjiworld https://t.co/p245ymym1z,Netral
3265,"nobody can stay forever in your life, even they promise or etc. You can't control them. And if you still think that person everytime, its not their problem. Its yours.","Nobody can stay forever in your life, even they promise or etc. You can get the control them. And if you are still think that person everytime, its not their problem. It's yourself.","Tidak ada yang bisa tinggal selamanya dalam hidup Anda, bahkan mereka berjanji atau dll. Anda tidak dapat mengendalikannya. Dan jika Anda masih berpikir orang itu setiap kali, itu bukan masalah mereka. Itu milikmu.",Positif
